E415_C6200CTRL/Q1SIMG2$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q1SIMG7$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q2SIMG3$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q2SIMG8$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q1PHSIMG15$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/Q2PHSIMG16$ST$PresAlm$stVal,0:복귀1:동작
E415_C6200CTRL/VSTSGGIO6$ST$Ind45$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind28$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind29$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind25$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind26$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind53$stVal,0:복귀1:동작
E415_C6200CTRL/EXTDIGGIO7$ST$Ind31$stVal,"0:복귀,1:동작"
E415_C6061CTRL/LPHD1$ST$PhyHealth$stVal,1:정상3:비정상
E415_C6061CTRL/COMMGGIO2$ST$Ind1$stVal,0:비정상1:정상
E415_C6061CTRL/COMMGGIO2$ST$Ind2$stVal,0:비정상1:정상
E415_C6061CTRL/LLN0$ST$Loc$stVal,0:Remote1:Local
E415_C6061CTRL/Q0XCBR1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6061CTRL/Q1XSWI1$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6061CTRL/Q2XSWI2$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6061CTRL/Q91XSWI4$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6061CTRL/Q92XSWI5$ST$Pos$stVal,0:동작중1:열림2:닫힘3:비정상
E415_C6061CTRL/Q0CILO1$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6061CTRL/Q0CILO1$ST$EnaCls$stVal,0:잠김1:해제
E415_C6061CTRL/Q1CILO2$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6061CTRL/Q1CILO2$ST$EnaCls$stVal,0:잠김1:해제
E415_C6061CTRL/Q2CILO3$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6061CTRL/Q2CILO3$ST$EnaCls$stVal,0:잠김1:해제
E415_C6061CTRL/Q91CILO5$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6061CTRL/Q91CILO5$ST$EnaCls$stVal,0:잠김1:해제
E415_C6061CTRL/Q92CILO6$ST$EnaOpn$stVal,0:잠김1:해제
E415_C6061CTRL/Q92CILO6$ST$EnaCls$stVal,0:잠김1:해제
E415_C6061CTRL/VSTSGGIO6$ST$Ind54$stVal,0:복귀1:동작
E415_C6061CTRL/VSTSGGIO6$ST$Ind53$stVal,0:복귀1:동작
E415_C6061CTRL/GOSFGGIO11$ST$Ind1$stVal,0:복귀1:동작
E415_C6061CTRL/VSTSGGIO6$ST$Ind59$stVal,0:복귀1:동작
E415_C6061CTRL/VSTSGGIO6$ST$Ind64$stVal,0:동작1:해제
E415_C6061CTRL/Q0SIMG1$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q0SIMG6$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q1SIMG2$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q1SIMG7$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q2SIMG3$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q2SIMG8$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q1PHSIMG15$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/Q2PHSIMG16$ST$PresAlm$stVal,0:복귀1:동작
E415_C6061CTRL/VSTSGGIO6$ST$Ind45$stVal,0:복귀1:동작
E415_C6061CTRL/EXTDIGGIO7$ST$Ind28$stVal,0:복귀1:동작
E415_C6061CTRL/EXTDIGGIO7$ST$Ind29$stVal,0:복귀1:동작
E415_C6061CTRL/EXTDIGGIO7$ST$Ind25$stVal,0:복귀1:동작
E415_C6061CTRL/EXTDIGGIO7$ST$Ind26$stVal,0:복귀1:동작
E415_C6061CTRL/EXTDIGGIO7$ST$Ind53$stVal,0:복귀1:동작
